BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
21-65629,False,False,False,False,True,False,False,
21-65631,False,False,False,False,True,False,False,
21-65635,False,False,False,False,False,False,False,
21-65647,False,False,False,False,True,False,False,
21-65651,False,False,False,False,True,False,False,
21-65654,False,False,False,False,False,False,True,
21-65656,False,False,False,False,False,False,True,
21-65658,False,False,False,True,False,False,False,
21-65662,False,True,False,False,False,False,False,
21-65664,False,False,False,True,False,False,False,
21-65665,False,False,False,False,False,False,True,
21-65667,False,False,False,False,True,False,False,
21-65668,False,False,False,False,False,True,False,
21-65669,False,False,False,False,True,False,False,
21-65670,False,False,True,False,False,False,False,
21-65672,False,False,False,True,False,False,False,
21-65673,False,False,False,False,True,False,False,
21-65674,False,False,False,False,True,False,False,
21-65679,False,False,False,True,False,False,False,
21-65680,False,False,False,False,False,False,True,
21-65686,False,False,False,False,True,False,False,
21-65690,False,False,False,False,True,False,False,
21-65693,False,True,False,False,False,False,False,
21-65694,False,False,False,False,True,False,False,
21-65697,False,False,False,False,True,False,False,
21-65703,False,False,False,False,False,False,False,
21-65705,False,True,False,False,False,False,False,
21-65713,False,False,False,False,False,False,False,
21-65718,False,True,False,False,False,False,False,
21-65719,False,False,False,False,True,False,False,
21-65724,False,False,False,False,True,False,False,
21-65726,False,False,False,False,True,False,False,
21-65734,False,False,False,False,True,False,False,
21-65736,False,False,False,False,False,False,False,
21-65738,False,False,False,False,True,False,False,
21-65740,False,False,False,False,True,False,False,
21-65741,False,False,False,False,False,False,True,
21-65743,False,False,False,False,True,False,False,
21-65750,False,False,False,False,False,False,True,
21-65751,False,False,False,False,False,False,True,
21-65752,False,False,False,False,False,False,False,
21-65755,False,False,False,False,True,False,False,
21-65758,False,False,False,False,True,False,False,
21-65759,False,False,False,False,False,False,False,
21-65763,False,False,False,False,False,False,True,
21-65771,False,False,False,False,False,False,False,
21-65772,False,False,False,True,False,False,False,
21-65774,False,False,False,False,True,False,False,
21-65775,False,False,False,False,True,False,False,
21-65776,False,False,False,True,False,False,False,
21-65777,False,False,False,False,True,False,False,
21-65778,False,False,False,False,False,False,False,
21-65779,False,False,False,False,False,False,True,
21-65780,False,False,False,False,True,False,False,
21-65783,False,False,False,False,False,False,True,
21-65785,False,False,False,False,True,False,False,
21-65786,False,False,False,False,False,False,True,
21-65789,False,True,False,False,False,False,False,
21-65790,False,False,False,False,True,False,False,
21-65792,False,False,False,False,False,True,False,
21-65793,False,False,False,False,False,False,True,
21-65795,False,False,False,False,False,False,True,
21-65796,False,False,False,False,False,False,False,
21-65800,False,False,False,False,True,False,False,
21-65803,False,False,False,False,True,False,False,
21-65805,False,False,False,False,True,False,False,
21-65807,False,False,False,False,False,False,True,
21-65810,False,False,False,False,True,False,False,
21-65811,False,False,False,False,False,True,False,
21-65813,False,False,False,False,False,False,True,
21-65815,False,False,False,False,True,False,False,
21-65819,False,False,False,False,True,False,False,
21-65827,False,False,False,False,False,True,False,
21-65829,False,False,False,False,False,False,True,
21-65831,False,False,False,False,False,False,True,
21-65832,False,False,False,False,True,False,False,
21-65836,False,False,False,False,True,False,False,
21-65838,False,False,False,False,False,False,False,
21-65839,False,False,False,False,True,False,False,
21-65840,False,False,False,False,False,False,True,
21-65843,False,False,False,False,False,False,True,
21-65851,False,False,False,False,False,False,False,
21-65854,False,False,False,True,False,False,False,
21-65856,False,False,False,False,True,False,False,
21-65858,False,False,False,False,True,False,False,
21-65863,False,False,False,True,False,False,False,
21-65865,False,False,False,False,False,False,True,
21-65866,False,False,False,False,False,True,False,
21-65869,False,False,False,True,False,False,False,
21-65874,False,False,False,False,True,False,False,
21-65881,False,True,False,False,False,False,False,
21-65882,False,False,False,True,False,False,False,
21-65883,False,False,False,True,False,False,False,
21-65888,False,False,False,False,True,False,False,
21-65889,False,False,False,False,True,False,False,
21-65892,False,False,False,False,True,False,False,
21-65894,False,False,False,False,False,True,False,
21-65896,False,True,False,False,False,False,False,
21-65898,False,False,False,False,False,False,False,
21-65900,False,False,False,False,True,False,False,
21-65902,False,False,False,False,True,False,False,
21-65905,False,False,False,False,True,False,False,
21-65907,False,False,False,False,True,False,False,
21-65908,False,False,False,False,False,False,True,
21-65909,False,False,False,False,False,True,False,
21-65912,False,False,False,True,False,False,False,
21-65913,False,False,False,False,False,False,True,
21-65914,False,False,False,False,False,False,True,
21-65922,False,False,False,False,False,True,False,
21-65926,False,False,False,False,True,False,False,
21-65937,False,False,False,False,False,False,True,
21-65939,False,False,False,False,False,True,False,
21-65941,False,False,False,False,False,False,True,
21-65942,False,False,False,False,False,True,False,
21-65944,False,False,False,False,False,True,False,
21-65946,False,False,False,False,False,False,True,
21-65948,False,False,False,False,False,False,True,
21-65952,False,True,False,False,False,False,False,
21-65954,False,False,False,False,False,True,False,
21-65958,False,False,False,False,False,False,True,
21-65960,False,True,False,False,False,False,False,
21-65963,False,False,False,False,False,False,True,
21-65964,False,False,False,False,False,False,True,
21-65969,False,False,False,False,True,False,False,
21-65970,False,False,False,False,True,False,False,
21-65972,False,False,False,False,False,False,False,
21-65976,False,False,False,False,True,False,False,
21-65977,False,False,False,False,False,False,True,
21-65978,False,True,False,False,False,False,False,
21-65979,False,False,False,False,False,False,True,
21-65980,False,False,False,False,True,False,False,
21-65982,False,False,False,False,True,False,False,
21-65984,False,False,False,False,False,False,False,
21-65985,False,False,False,False,False,False,True,
21-65986,False,False,False,False,False,False,True,
21-65988,False,False,False,False,True,False,False,
21-65990,False,False,False,False,True,False,False,
21-65992,False,False,False,True,False,False,False,
21-65993,False,False,False,False,False,False,True,
21-65994,False,False,False,True,False,False,False,
21-65995,False,True,False,False,False,False,False,
21-65996,False,False,False,True,False,False,False,
21-65998,False,False,False,False,False,False,True,
21-66002,False,False,False,False,True,False,False,
21-66004,False,False,False,False,True,False,False,
21-66010,False,False,False,False,False,False,True,
21-66011,False,False,False,False,False,False,True,
21-66019,False,False,False,True,False,False,False,
21-66028,False,False,False,False,False,False,False,
21-66029,False,False,False,False,False,False,False,
21-66031,False,False,False,False,False,False,False,
21-66032,False,False,False,False,False,False,False,
21-66033,False,False,False,False,True,False,False,
18-16305,False,False,False,False,False,False,False,
21-66036,False,False,False,False,False,True,False,
21-66047,False,False,False,False,True,False,False,
21-66048,False,False,False,False,True,False,False,
21-66051,False,True,False,False,False,False,False,
21-66057,False,False,False,False,False,True,False,
21-66059,False,False,False,False,True,False,False,
21-66064,False,False,False,False,False,False,True,
21-66066,False,True,False,False,False,False,False,
21-66069,False,False,False,False,False,False,False,
21-66070,False,False,False,False,False,False,False,
21-66072,False,False,False,False,True,False,False,
21-66073,False,False,True,False,False,False,False,
21-66076,False,False,False,True,False,False,False,
21-66077,False,False,False,False,False,False,False,
21-66078,False,False,False,False,True,False,False,
21-66080,False,False,False,True,False,False,False,
21-66081,False,False,False,True,False,False,False,
21-66083,False,False,False,False,True,False,False,
21-66086,False,False,False,False,False,False,True,
21-66088,False,False,False,False,True,False,False,
21-66091,False,False,False,False,True,False,False,
21-66092,False,False,False,False,True,False,False,
21-66093,False,False,False,False,True,False,False,
21-66094,False,False,False,False,True,False,False,
21-66097,False,False,False,False,True,False,False,
21-66109,False,False,False,True,False,False,False,
21-66110,False,False,False,False,False,False,False,
21-66111,False,False,False,False,True,False,False,
21-66112,False,False,False,False,False,False,False,
21-66114,False,False,False,False,True,False,False,
21-66116,False,False,False,True,False,False,False,
21-66120,False,False,False,False,False,True,False,
21-66121,False,False,False,False,False,False,True,
21-66128,False,False,False,False,False,False,True,
21-66130,False,False,False,False,True,False,False,
21-66132,False,False,False,False,True,False,False,
21-66134,False,False,False,False,True,False,False,
21-66136,False,False,False,False,True,False,False,
21-66137,False,False,False,False,False,False,False,
21-66140,False,False,False,False,True,False,False,
21-66142,False,False,False,False,True,False,False,
21-66144,False,True,False,False,False,False,False,
21-66145,False,False,False,False,False,False,True,
21-66146,False,False,False,False,False,False,False,
21-66147,False,False,False,False,True,False,False,
21-66155,False,False,False,False,True,False,False,
21-66157,False,False,False,False,False,False,False,
21-66158,False,False,False,False,False,False,True,
21-66159,False,False,False,True,False,False,False,
21-66165,False,False,False,False,False,False,False,
21-66169,False,False,False,False,False,False,False,
21-66170,False,False,False,False,False,False,True,
21-66171,False,False,False,False,False,True,False,
21-66172,False,False,False,True,False,False,False,
21-66173,False,False,False,False,True,False,False,
21-66176,False,False,False,False,True,False,False,
21-66178,False,False,False,False,True,False,False,
21-66184,False,False,False,True,False,False,False,
21-66185,False,False,False,False,True,False,False,
21-66186,False,False,False,False,False,True,False,
21-66194,False,False,False,False,False,False,False,
21-66195,False,False,False,False,False,False,True,
21-66198,False,False,False,False,False,False,True,
21-66199,False,False,False,False,False,True,False,
21-66202,False,False,False,False,False,True,False,
21-66203,False,False,False,True,False,False,False,
21-66205,False,False,False,False,False,False,True,
21-66208,False,False,False,False,False,False,True,
21-66209,False,False,False,False,False,False,False,
21-66210,False,True,False,False,False,False,False,
21-66214,False,True,False,False,False,False,False,
21-66216,False,False,False,False,True,False,False,
21-66217,False,False,False,False,False,True,False,
21-66221,False,False,False,False,False,False,False,
21-66226,False,False,False,False,True,False,False,
21-66227,False,False,False,False,True,False,False,
21-66229,False,False,False,False,True,False,False,
21-66232,False,False,False,True,False,False,False,
21-66233,False,False,False,False,False,False,True,
21-66235,False,False,False,False,False,True,False,
21-66236,False,False,False,True,False,False,False,
21-66239,False,False,False,False,True,False,False,
21-66246,False,True,False,False,False,False,False,
21-66247,False,False,False,False,False,False,True,
21-66248,False,False,False,False,False,False,True,
21-66249,False,False,False,False,False,False,True,
21-66250,False,False,False,False,False,False,False,
21-66254,False,False,False,False,True,False,False,
21-66257,False,False,False,False,True,False,False,
21-66258,False,False,False,False,False,True,False,
21-66260,False,False,False,False,True,False,False,
21-66261,False,False,False,False,False,False,False,
21-66262,False,False,False,False,True,False,False,
21-66264,False,False,False,False,False,False,True,
21-66265,False,False,False,False,False,False,False,
18-18264,False,False,False,False,True,False,False,
21-66278,False,False,False,False,True,False,False,
21-66283,False,False,False,False,False,False,True,
21-66284,False,False,False,False,False,False,True,
21-66285,False,False,False,False,False,False,True,
21-66286,False,False,False,False,False,False,True,
21-66290,False,False,False,False,True,False,False,
21-66291,False,False,False,True,False,False,False,
21-66303,False,False,False,False,True,False,False,
21-66315,False,False,False,False,True,False,False,
21-66316,False,False,False,False,False,False,False,
21-66319,False,False,False,False,False,False,True,
21-66320,False,False,True,False,False,False,False,
21-66335,False,False,False,True,False,False,False,
21-66337,False,False,False,False,True,False,False,
21-66338,False,False,False,False,False,False,False,
21-66342,False,False,False,False,False,False,False,
21-66345,False,False,False,False,True,False,False,
21-66347,False,False,False,False,True,False,False,
21-66348,False,False,False,False,False,False,False,
21-66350,False,False,False,False,False,False,True,
21-66351,False,False,False,False,False,False,True,
21-66352,False,True,False,False,False,False,False,
21-66353,False,False,False,False,False,False,True,
21-66366,False,False,False,False,False,False,False,
21-66368,False,False,False,False,True,False,False,
21-66369,False,False,False,False,True,False,False,
21-66370,False,False,False,False,False,True,False,
21-66372,False,False,False,False,False,False,True,
21-66377,False,False,False,False,True,False,False,
21-66381,False,False,False,False,True,False,False,
21-66383,False,False,False,False,False,False,True,
21-66384,False,False,False,False,True,False,False,
21-66386,False,False,False,False,True,False,False,
21-66387,False,False,False,False,False,False,True,
21-66397,False,False,False,False,False,False,False,
21-66398,False,True,False,False,False,False,False,
21-66402,False,False,False,False,False,False,True,
21-66404,False,False,False,False,False,False,False,
21-66410,False,False,False,False,True,False,False,
21-66421,False,True,False,False,False,False,False,
21-66422,False,False,False,False,True,False,False,
21-66426,False,False,False,False,True,False,False,
21-66429,False,False,False,False,False,False,True,
21-66435,False,False,True,False,False,False,False,
21-66436,False,False,False,False,False,False,False,
21-66438,False,False,False,False,True,False,False,
21-66439,False,False,False,False,True,False,False,
21-66443,False,False,False,False,False,False,False,
21-66447,False,True,False,False,False,False,False,
21-66452,False,False,False,False,True,False,False,
21-66455,False,False,False,False,True,False,False,
21-66456,False,False,False,False,True,False,False,
21-66457,False,False,False,True,False,False,False,
21-66460,False,False,False,False,False,False,False,
21-66465,False,False,False,False,False,False,False,
21-66467,False,False,False,False,True,False,False,
21-66472,False,False,False,False,False,False,False,
21-66481,False,False,False,False,True,False,False,
21-66482,False,False,False,False,True,False,False,
21-66483,False,False,False,False,False,True,False,
21-66485,False,False,False,True,False,False,False,
21-66489,False,False,False,False,True,False,False,
21-66490,False,False,False,False,True,False,False,
21-66491,False,True,False,False,False,False,False,
21-66492,False,False,False,False,False,False,True,
21-66495,False,False,False,False,False,False,False,
21-66498,False,True,False,False,False,False,False,
21-66501,False,False,False,False,False,False,True,
21-66503,False,False,False,False,True,False,False,
21-66505,False,True,False,False,False,False,False,
21-66508,False,False,False,False,False,False,True,
21-66509,False,False,False,False,False,True,False,
21-66511,False,False,False,False,False,False,True,
21-66521,False,False,False,True,False,False,False,
21-66523,False,False,False,False,True,False,False,
21-66524,False,False,False,False,True,False,False,
21-66525,False,False,False,False,False,False,False,
21-66526,False,False,False,False,True,False,False,
21-66527,False,False,False,False,True,False,False,
21-66528,False,False,False,False,True,False,False,
21-66535,False,False,False,False,True,False,False,
21-66537,False,False,False,False,False,False,True,
21-66542,False,False,False,False,False,False,True,
21-66543,False,False,False,False,False,False,False,
21-66546,False,False,False,False,False,False,False,
21-66548,False,False,False,False,False,False,False,
21-66555,False,False,False,False,False,False,True,
21-66556,False,False,False,False,False,False,True,
21-66558,False,False,False,False,False,False,True,
21-66564,False,False,False,False,False,False,False,
21-66567,False,True,False,False,False,False,False,
21-66572,False,False,False,False,False,False,False,
21-66576,False,False,False,False,True,False,False,
21-66577,False,False,False,False,False,False,True,
21-66578,False,False,False,False,False,False,False,
21-66579,False,False,False,False,False,False,False,
21-66580,False,False,False,False,True,False,False,
21-66585,False,True,False,False,False,False,False,
21-66587,False,False,False,True,False,False,False,
21-66588,False,False,False,False,False,False,True,
21-66590,False,False,False,False,False,False,False,
21-66593,False,False,False,False,False,False,True,
21-66595,False,False,False,False,False,False,False,
21-66597,False,False,False,False,True,False,False,
21-66598,False,False,False,False,True,False,False,
21-66608,False,False,False,False,True,False,False,
21-66609,False,False,False,True,False,False,False,
21-66610,False,False,False,False,True,False,False,
21-66611,False,False,False,True,False,False,False,
21-66613,False,False,False,True,False,False,False,
21-66614,False,False,False,False,False,False,True,
21-66616,False,False,False,False,False,False,True,
21-66622,False,False,False,False,True,False,False,
21-66623,False,False,False,False,False,False,True,
21-66624,False,False,False,False,False,True,False,
21-66630,False,False,False,False,False,False,False,
21-66634,False,False,False,False,True,False,False,
21-66635,False,False,False,False,False,True,False,
21-66639,False,True,False,False,False,False,False,
21-66640,False,False,False,False,False,False,False,
21-66644,False,False,False,False,False,False,True,
21-66651,False,False,False,False,False,False,True,
21-66652,False,False,False,False,False,False,True,
21-66654,False,False,False,False,True,False,False,
21-66655,False,False,False,False,True,False,False,
21-66658,False,False,False,False,False,False,False,
21-66660,False,False,False,False,False,False,False,
21-66662,False,False,False,False,False,False,False,
21-66665,False,False,False,True,False,False,False,
21-66666,False,False,False,False,True,False,False,
21-66668,False,False,False,False,True,False,False,
21-66673,False,False,False,False,False,False,True,
21-66675,False,False,False,False,True,False,False,
21-66678,False,False,False,False,True,False,False,
21-66687,False,True,False,False,False,False,False,
21-66688,False,False,True,False,False,False,False,
21-66689,False,False,False,False,False,False,False,
21-66690,False,False,False,False,False,True,False,
21-66692,False,False,False,False,False,False,False,
21-66693,False,False,False,False,False,False,False,
21-66696,False,False,False,True,False,False,False,
21-66704,False,False,False,False,True,False,False,
21-66709,False,False,False,False,False,False,False,
21-66712,False,False,False,False,False,False,False,
21-66715,False,True,False,False,False,False,False,
21-66717,False,False,False,False,True,False,False,
21-66718,False,False,False,False,False,False,False,
21-66722,False,False,False,False,True,False,False,
21-66726,False,True,False,False,False,False,False,
21-66733,False,False,False,False,True,False,False,
21-66734,False,True,False,False,False,False,False,
21-66736,False,False,False,False,True,False,False,
21-66748,False,True,False,False,False,False,False,
21-66750,False,False,False,False,True,False,False,
21-66754,False,False,False,False,False,True,False,
21-66755,False,False,False,False,True,False,False,
21-66757,False,False,False,False,True,False,False,
21-66766,False,False,False,False,False,False,True,
21-66769,False,False,False,False,True,False,False,
21-66773,False,False,False,True,False,False,False,
21-66775,False,False,False,False,False,False,True,
21-66778,False,False,False,False,False,False,True,
21-66782,False,False,False,False,False,False,True,
21-66784,False,False,False,True,False,False,False,
21-66786,False,False,False,False,True,False,False,
21-66789,False,False,False,False,False,False,True,
21-66791,False,False,False,False,True,False,False,
21-66793,False,False,False,False,False,True,False,
21-66796,False,False,False,False,True,False,False,
21-66803,False,False,False,False,False,False,True,
21-66809,False,False,False,False,False,False,False,
21-66811,False,False,False,False,False,False,True,
21-66812,False,False,False,False,True,False,False,
21-66814,False,False,False,True,False,False,False,
21-66815,False,False,False,False,True,False,False,
21-66819,False,False,False,False,False,False,False,
21-66821,False,False,False,False,False,False,False,
21-66822,False,False,False,True,False,False,False,
21-66823,False,False,False,True,False,False,False,
21-66824,False,False,False,False,False,False,True,
21-66831,False,False,False,False,False,False,True,
21-66840,False,False,False,False,False,False,True,
21-66841,False,False,False,False,True,False,False,
21-66849,False,False,False,False,True,False,False,
21-66852,False,False,False,False,True,False,False,
21-66853,False,True,False,False,False,False,False,
21-66855,False,False,False,False,True,False,False,
21-66860,False,False,False,False,False,False,False,
21-66862,False,False,False,False,True,False,False,
21-66866,False,False,False,False,True,False,False,
21-66869,False,False,False,False,False,True,False,
21-66871,False,False,False,False,True,False,False,
21-66873,False,False,True,False,False,False,False,
21-66874,False,False,False,True,False,False,False,
21-66875,False,False,False,False,True,False,False,
21-66876,False,False,False,False,False,False,True,
21-66877,False,False,False,False,True,False,False,
21-66878,False,False,False,False,True,False,False,
21-66880,False,False,False,False,True,False,False,
21-66882,False,False,False,False,False,False,False,
21-66890,False,False,False,False,True,False,False,
21-66891,False,False,False,False,False,False,False,
21-66894,False,False,False,False,False,True,False,
21-66899,False,False,False,False,True,False,False,
21-66900,False,False,False,False,False,False,False,
21-66902,False,False,False,True,False,False,False,
21-66903,False,False,False,False,False,False,True,
21-66905,False,False,False,False,False,False,False,
21-66906,False,False,False,True,False,False,False,
21-66909,False,False,True,False,False,False,False,
21-66910,False,False,False,False,True,False,False,
21-66911,False,False,False,False,False,False,False,
21-66912,False,False,False,False,False,False,False,
21-66918,False,False,False,False,True,False,False,
21-66919,False,False,False,False,False,False,False,
21-66923,False,False,False,False,False,False,False,
21-66925,False,False,False,False,False,False,True,
21-66931,False,False,True,False,False,False,False,
21-66932,False,False,False,False,False,False,False,
21-66938,False,False,False,False,False,False,False,
21-66939,False,False,False,False,False,False,False,
21-66943,False,False,False,False,False,False,True,
21-66945,False,False,False,False,False,True,False,
21-66947,False,False,False,False,False,False,True,
21-66948,False,False,False,False,True,False,False,
21-66960,False,False,False,False,False,True,False,
21-66961,False,False,False,False,True,False,False,
21-66962,False,False,False,False,True,False,False,
21-66964,False,False,False,False,True,False,False,
21-66967,False,False,False,False,False,False,True,
21-66970,False,False,False,False,False,False,True,
21-66974,False,False,False,False,True,False,False,
21-66975,False,False,False,False,True,False,False,
21-66976,False,False,False,False,False,False,True,
21-66977,False,False,False,False,True,False,False,
21-66978,False,False,False,False,True,False,False,
21-66979,False,False,False,False,False,True,False,
21-66980,False,False,False,False,True,False,False,
21-66982,False,False,False,False,False,False,True,
21-66983,False,False,False,False,True,False,False,
21-66991,False,False,False,False,False,False,True,
21-66992,False,False,False,False,True,False,False,
21-66994,False,False,False,False,True,False,False,
21-66998,False,False,False,False,False,False,True,
21-67000,False,False,False,False,True,False,False,
21-67005,False,False,False,False,False,False,True,
21-67006,False,False,False,False,False,False,False,
21-67008,False,False,False,False,False,True,False,
21-67014,False,True,False,False,False,False,False,
21-67015,False,False,False,False,False,False,False,
21-67017,False,False,False,False,True,False,False,
21-67018,False,False,False,False,True,False,False,
21-67019,False,False,False,False,True,False,False,
21-67020,False,False,False,False,False,False,True,
21-67022,False,False,False,False,False,True,False,
21-67026,False,False,False,False,False,True,False,
21-67033,False,False,False,False,False,False,False,
21-67036,False,False,False,False,False,False,True,
21-67042,False,False,False,False,True,False,False,
21-67046,False,False,False,False,False,False,True,
21-67047,False,False,False,False,False,False,True,
21-67055,False,False,False,False,True,False,False,
21-67064,False,False,False,False,False,False,False,
21-67065,False,False,False,False,False,False,False,
21-67083,False,True,False,False,False,False,False,
21-67092,False,False,False,False,True,False,False,
21-67100,False,False,False,False,False,False,True,
21-67102,False,False,False,False,False,False,False,
21-67103,False,False,False,True,False,False,False,
21-67106,False,False,False,False,False,False,True,
21-67107,False,False,False,False,True,False,False,
21-67109,False,False,False,False,False,True,False,
21-67116,False,False,False,False,True,False,False,
21-67117,False,False,False,False,False,False,False,
21-67118,False,False,False,False,True,False,False,
21-67120,False,False,False,True,False,False,False,
21-67122,False,False,False,False,False,False,True,
21-67126,False,False,False,False,False,False,False,
21-67127,False,False,False,True,False,False,False,
21-67128,False,False,False,True,False,False,False,
21-67129,False,False,False,False,False,False,True,
21-67130,False,False,False,False,False,True,False,
21-67131,False,False,False,False,True,False,False,
21-67132,False,False,False,False,True,False,False,
21-67133,False,False,False,True,False,False,False,
21-67135,False,False,False,False,False,False,True,
21-67140,False,False,False,False,False,False,False,
21-67146,False,False,False,False,False,True,False,
21-67162,False,False,False,False,False,False,True,
21-67163,False,False,False,False,False,False,True,
21-67164,False,False,False,False,False,False,False,
21-67166,False,False,False,False,True,False,False,
21-67175,False,False,False,False,True,False,False,
21-67176,False,False,False,False,True,False,False,
21-67178,False,False,False,False,True,False,False,
21-67179,False,False,False,False,False,False,True,
21-67180,False,False,False,False,False,False,True,
21-67184,False,False,False,False,True,False,False,
21-67185,False,False,False,False,False,True,False,
21-67190,False,False,False,False,False,False,False,
21-67191,False,False,False,False,True,False,False,
21-67195,False,False,False,True,False,False,False,
21-67197,False,False,False,False,False,False,True,
21-67198,False,False,False,False,False,False,True,
21-67202,False,False,False,False,False,False,False,
21-67209,False,False,False,False,True,False,False,
21-67210,False,False,False,False,True,False,False,
21-67211,False,False,False,False,False,True,False,
21-67216,False,False,True,False,False,False,False,
21-67217,False,False,False,False,False,False,False,
21-67220,False,False,False,False,True,False,False,
21-67222,False,False,False,False,False,False,False,
21-67223,False,False,False,False,False,False,True,
21-67225,False,False,False,False,False,False,False,
21-67227,False,False,False,False,True,False,False,
21-67230,False,False,False,False,False,False,False,
21-67231,False,True,False,False,False,False,False,
21-67232,False,False,False,False,True,False,False,
21-67234,False,False,False,False,True,False,False,
21-67235,False,False,False,False,False,False,False,
21-67237,False,False,False,False,True,False,False,
21-67238,False,False,False,False,False,False,True,
21-67240,False,False,False,False,True,False,False,
21-67243,False,False,False,False,False,False,True,
21-67247,False,False,False,False,True,False,False,
21-67251,False,False,False,False,True,False,False,
21-67253,False,False,False,False,False,False,True,
21-67254,False,False,False,False,False,True,False,
21-67256,False,False,False,False,False,False,True,
21-67262,False,False,False,False,False,False,True,
21-67280,False,False,False,True,False,False,False,
21-67283,False,False,False,True,False,False,False,
21-67286,False,False,False,False,False,False,False,
21-67290,False,False,False,False,True,False,False,
21-67292,False,False,False,True,False,False,False,
21-67293,False,False,False,False,True,False,False,
21-67294,False,False,False,False,False,True,False,
21-67296,False,False,False,False,False,False,True,
21-67300,False,False,False,False,False,False,False,
21-67301,False,False,False,False,False,True,False,
21-67302,False,True,False,False,False,False,False,
21-67304,False,False,False,False,True,False,False,
21-67305,False,False,False,False,False,False,False,
21-67306,False,True,False,False,False,False,False,
21-67307,False,False,False,False,False,False,False,
21-67312,False,False,False,False,True,False,False,
21-67314,False,False,False,False,False,False,True,
21-67315,False,False,False,False,True,False,False,
21-67317,False,False,False,False,False,False,False,
21-67318,False,False,False,False,False,False,True,
21-67319,False,False,False,False,True,False,False,
21-67320,False,False,False,False,True,False,False,
21-67324,False,False,False,False,False,False,False,
21-67326,False,False,False,False,True,False,False,
21-67327,False,False,False,False,False,True,False,
21-67328,False,False,False,False,False,False,True,
21-67329,False,False,False,False,True,False,False,
21-67333,False,False,False,False,False,False,False,
21-67334,False,False,False,True,False,False,False,
21-67344,False,False,False,False,True,False,False,
21-67346,False,False,False,False,False,False,True,
21-67347,False,False,False,True,False,False,False,
21-67350,False,True,False,False,False,False,False,
21-67351,False,False,False,False,True,False,False,
21-67352,False,False,False,False,False,False,False,
21-67353,False,False,False,False,False,False,True,
21-67356,False,False,False,False,False,True,False,
21-67359,False,False,True,False,False,False,False,
21-67360,False,False,False,False,False,False,False,
21-67368,False,False,False,False,True,False,False,
21-67370,False,False,False,True,False,False,False,
21-67371,False,False,False,False,False,False,True,
21-67375,False,False,False,False,True,False,False,
21-67376,False,False,False,False,False,False,True,
21-67384,False,False,False,False,False,False,True,
21-67387,False,False,False,True,False,False,False,
21-67392,False,False,False,False,False,False,False,
21-67394,False,False,False,False,True,False,False,
21-67395,False,False,False,False,False,False,True,
21-67400,False,False,False,False,True,False,False,
21-67404,False,False,False,False,True,False,False,
21-67405,False,True,False,False,False,False,False,
21-67407,False,False,False,False,False,False,False,
21-67410,False,True,False,False,False,False,False,
21-67411,False,False,False,False,False,False,True,
21-67418,False,False,False,True,False,False,False,
21-67424,False,False,False,False,False,False,False,
21-67425,False,False,False,False,True,False,False,
21-67427,False,False,False,False,True,False,False,
21-67433,False,False,False,False,False,False,False,
21-67441,False,False,False,False,False,False,True,
21-67443,False,False,False,False,True,False,False,
21-67445,False,True,False,False,False,False,False,
21-67448,False,False,False,True,False,False,False,
21-67449,False,False,False,False,False,False,True,
21-67453,False,False,False,False,True,False,False,
21-67454,False,False,False,False,False,False,True,
21-67457,False,False,False,False,True,False,False,
21-67459,False,False,False,False,True,False,False,
21-67462,False,True,False,False,False,False,False,
21-67466,False,False,False,False,False,False,False,
21-67469,False,True,False,False,False,False,False,
21-67471,False,True,False,False,False,False,False,
21-67483,False,False,False,False,False,False,False,
21-67485,False,False,False,False,True,False,False,
21-67486,False,False,False,False,True,False,False,
21-67488,False,False,False,False,True,False,False,
21-67489,False,False,False,False,True,False,False,
21-67490,False,False,False,False,False,False,False,
21-67491,False,False,False,False,False,False,True,
17-107742,False,False,False,False,False,False,False,
21-67494,False,False,False,True,False,False,False,
21-67498,False,False,False,True,False,False,False,
21-67499,False,False,False,False,True,False,False,
21-67502,False,False,False,False,False,False,False,
21-67503,False,False,False,False,True,False,False,
21-67508,False,False,False,False,False,False,False,
21-67510,False,False,False,False,False,False,False,
21-67514,False,False,False,True,False,False,False,
21-67515,False,False,False,False,False,False,False,
21-67517,False,False,False,True,False,False,False,
21-67518,False,False,False,False,True,False,False,
21-67519,False,False,False,True,False,False,False,
21-67526,False,False,False,False,False,False,True,
21-67534,False,False,False,False,True,False,False,
21-67536,False,False,False,False,False,False,False,
21-67539,False,False,False,False,True,False,False,
21-67541,False,False,False,False,False,False,True,
21-67544,False,False,False,False,False,False,False,
21-67546,False,False,False,False,True,False,False,
21-67549,False,False,True,False,False,False,False,
21-67550,False,False,False,False,False,False,True,
21-67556,False,False,False,True,False,False,False,
21-67562,False,True,False,False,False,False,False,
21-67563,False,False,False,False,True,False,False,
21-67565,False,False,False,False,True,False,False,
21-67567,False,False,False,False,False,False,True,
21-67568,False,False,False,False,False,False,True,
21-67569,False,False,False,False,False,False,False,
21-67571,False,False,False,False,False,False,False,
21-67572,False,False,False,False,True,False,False,
